#Types Before Cut: 11091
#Types After Cut: 9607
#Search Hits: 0
242	12	32.738	круто
243	12	32.738	любят
244	12	32.738	смешно
245	20	32.495	дочка
246	20	32.495	другому
247	16	32.273	пожалуйста
248	16	32.273	родители
249	16	32.273	школа
250	21	32.230	хоть
251	21	32.230	язык
252	14	31.437	любит
253	17	31.242	давайте
254	17	31.242	пошла
255	36	30.404	две
256	19	30.224	младший
257	11	30.010	inan
258	11	30.010	девочки
259	11	30.010	девяносто
260	11	30.010	здорово
261	11	30.010	кадра
262	11	30.010	классно
263	11	30.010	кхм
264	11	30.010	понимаешь
265	11	30.010	расскажу
266	11	30.010	рассказчик
267	11	30.010	смеётся
268	11	30.010	смотри
269	11	30.010	училась
270	21	29.933	жить
271	15	29.788	играть
272	15	29.788	поняла
273	26	28.959	смысле
274	13	28.852	концерт
275	13	28.852	учились
276	13	28.852	ходить
277	16	28.848	языке
278	17	28.290	моей
279	28	28.153	таки
280	18	27.974	понимаю
281	113	27.888	даже
282	19	27.824	н
283	156	27.640	или
284	14	27.318	говори
285	14	27.318	света
286	14	27.318	собственно
287	10	27.282	вкус
288	10	27.282	восемьдесят
289	10	27.282	дед
290	10	27.282	дедушка
291	10	27.282	забыл
292	10	27.282	иии
293	10	27.282	картинка
294	10	27.282	кашель
295	10	27.282	нуу
296	10	27.282	озеро
297	10	27.282	пол
298	10	27.282	прикольно
299	10	27.282	ребята
300	10	27.282	своё
301	10	27.282	слушай
302	10	27.282	смешок
303	10	27.282	собака
304	10	27.282	ушёл
305	15	26.473	ж
306	12	26.277	вдруг
307	12	26.277	весело
308	12	26.277	делаю
309	12	26.277	квартиру
310	12	26.277	поговорить
311	12	26.277	пятьдесят
312	22	26.174	какую
313	16	25.996	видео
314	13	24.867	маленький
315	13	24.867	машина
316	13	24.867	честно
317	29	24.659	старший
318	26	24.558	самое
319	9	24.553	n
320	9	24.553	ар
321	9	24.553	видишь
322	9	24.553	грустный
323	9	24.553	двенадцать
324	9	24.553	кошки
325	9	24.553	папа
326	9	24.553	подожди
327	9	24.553	смесь
328	9	24.553	танцами
329	9	24.553	твой
330	9	24.553	чай
331	9	24.553	эмм
332	49	24.454	всегда
333	50	24.269	день
334	28	24.184	обычно
335	28	24.184	совсем
336	14	24.122	d
337	14	24.122	вещи
338	20	23.953	места
339	146	23.921	был
340	39	23.801	людей
341	27	23.717	каждый
342	27	23.717	моя
343	11	23.716	давали
344	11	23.716	знала
345	11	23.716	соседка
346	11	23.716	холодно
347	18	23.592	тему
348	16	23.550	девять
349	29	23.486	сама
350	30	22.878	чего
351	35	22.535	четыре
352	12	22.436	купил
353	12	22.436	нравятся
354	19	21.984	павел
355	8	21.825	acc
356	8	21.825	komm
357	8	21.825	nom
358	8	21.825	ааa
359	8	21.825	английский
360	8	21.825	брови
361	8	21.825	вертолет
362	8	21.825	говорящийа
363	8	21.825	говорящийб
364	8	21.825	грустно
365	8	21.825	делаешь
366	8	21.825	егэ
367	8	21.825	замечательно
368	8	21.825	звук
369	8	21.825	иду
370	8	21.825	интересного
371	8	21.825	колесико
372	8	21.825	любишь
373	8	21.825	лёва
374	8	21.825	мамой
375	8	21.825	мемы
376	8	21.825	надя
377	8	21.825	никит
378	8	21.825	одиннадцать
379	8	21.825	поехал
380	8	21.825	прихожу
381	8	21.825	смотрел
382	8	21.825	смотрела
383	8	21.825	студентов
384	8	21.825	типо
385	8	21.825	учится
386	8	21.825	хе
387	8	21.825	эт
388	13	21.795	какими
389	13	21.795	семья
390	18	21.734	русский
391	17	21.537	кем
392	14	21.486	мои
393	14	21.486	надеюсь
394	14	21.486	утра
395	16	21.411	читать
396	36	21.304	одна
397	21	21.114	долго
398	20	20.733	друг
399	19	20.376	слово
400	40	20.296	говорить
401	11	20.028	квартире
402	16	19.516	реально
403	16	19.516	уж
404	13	19.278	другую
405	13	19.278	смотреть
406	14	19.246	хотелось
407	27	19.232	слова
408	7	19.097	боже
409	7	19.097	буквы
410	7	19.097	двери
411	7	19.097	детство
412	7	19.097	друзьями
413	7	19.097	ездить
414	7	19.097	ехали
415	7	19.097	живёт
416	7	19.097	забыла
417	7	19.097	задание
418	7	19.097	карл
419	7	19.097	квартиры
420	7	19.097	красивый
421	7	19.097	ненавижу
422	7	19.097	нету
423	7	19.097	понравилась
